MODEL_CD,ALGO_NM,EXEC_YMD,MSE_VAL,RMSE_VAL,MAE_VAL,MAPE_VAL,R2_VAL,MDL_FILE_NM,SMMRY_FILE_NM,GRAPH_FILE_NM,RSLT_FILE_NM,USE_YN
*,ElasticNet,20260513,0.086,0.294,0.228,4.52722E+14,0.655,ElasticNet_20260513.pkl,ElasticNet_20260513_summary.txt,ElasticNet_20260513_prediction_plot.png,ElasticNet_20260513_predictions.csv,Y
*,MultiTaskElasticNet,20260513,0.086,0.294,0.228,4.52722E+14,0.655,MultiTaskElasticNet_20260513.pkl,MultiTaskElasticNet_20260513_summary.txt,MultiTaskElasticNet_20260513_prediction_plot.png,MultiTaskElasticNet_20260513_predictions.csv,
*,LinearSVR,20260513,0.09,0.3,0.196,3.64111E+14,0.641,LinearSVR_20260513.pkl,LinearSVR_20260513_summary.txt,LinearSVR_20260513_prediction_plot.png,LinearSVR_20260513_predictions.csv,Y
*,HuberRegressor,20260513,0.09,0.3,0.196,3.68685E+14,0.64,HuberRegressor_20260513.pkl,HuberRegressor_20260513_summary.txt,HuberRegressor_20260513_prediction_plot.png,HuberRegressor_20260513_predictions.csv,Y
*,TweedieRegressor,20260513,0.093,0.304,0.248,4.80684E+14,0.629,TweedieRegressor_20260513.pkl,TweedieRegressor_20260513_summary.txt,TweedieRegressor_20260513_prediction_plot.png,TweedieRegressor_20260513_predictions.csv,Y
*,PoissonRegressor,20260513,0.093,0.305,0.223,2.76471E+14,0.628,PoissonRegressor_20260513.pkl,PoissonRegressor_20260513_summary.txt,PoissonRegressor_20260513_prediction_plot.png,PoissonRegressor_20260513_predictions.csv,
*,LarsCV,20260513,0.1,0.317,0.257,4.95873E+14,0.598,LarsCV_20260513.pkl,LarsCV_20260513_summary.txt,LarsCV_20260513_prediction_plot.png,LarsCV_20260513_predictions.csv,
*,QuantileRegressor,20260513,0.107,0.328,0.21,3.53502E+14,0.571,QuantileRegressor_20260513.pkl,QuantileRegressor_20260513_summary.txt,QuantileRegressor_20260513_prediction_plot.png,QuantileRegressor_20260513_predictions.csv,
*,LassoLars,20260513,0.111,0.333,0.287,5.54004E+14,0.557,LassoLars_20260513.pkl,LassoLars_20260513_summary.txt,LassoLars_20260513_prediction_plot.png,LassoLars_20260513_predictions.csv,
*,Lasso,20260513,0.111,0.333,0.287,5.54004E+14,0.557,Lasso_20260513.pkl,Lasso_20260513_summary.txt,Lasso_20260513_prediction_plot.png,Lasso_20260513_predictions.csv,
*,MultiTaskLasso,20260513,0.111,0.333,0.287,5.54004E+14,0.557,MultiTaskLasso_20260513.pkl,MultiTaskLasso_20260513_summary.txt,MultiTaskLasso_20260513_prediction_plot.png,MultiTaskLasso_20260513_predictions.csv,
*,TheilSenRegressor,20260513,0.113,0.336,0.218,4.06732E+14,0.548,TheilSenRegressor_20260513.pkl,TheilSenRegressor_20260513_summary.txt,TheilSenRegressor_20260513_prediction_plot.png,TheilSenRegressor_20260513_predictions.csv,
*,OrthogonalMatchingPursuit,20260513,0.118,0.343,0.224,4.15028E+14,0.529,OrthogonalMatchingPursuit_20260513.pkl,OrthogonalMatchingPursuit_20260513_summary.txt,OrthogonalMatchingPursuit_20260513_prediction_plot.png,OrthogonalMatchingPursuit_20260513_predictions.csv,
*,GaussianProcessRegressor,20260513,0.231,0.481,0.16,2.30755E+14,0.076,GaussianProcessRegressor_20260513.pkl,GaussianProcessRegressor_20260513_summary.txt,GaussianProcessRegressor_20260513_prediction_plot.png,GaussianProcessRegressor_20260513_predictions.csv,
*,DummyRegressor,20260513,0.253,0.503,0.501,1.00152E+15,-0.013,DummyRegressor_20260513.pkl,DummyRegressor_20260513_summary.txt,DummyRegressor_20260513_prediction_plot.png,DummyRegressor_20260513_predictions.csv,
*,KernelRidge,20260513,0.425,0.652,0.534,4.46642E+14,-0.702,KernelRidge_20260513.pkl,KernelRidge_20260513_summary.txt,KernelRidge_20260513_prediction_plot.png,KernelRidge_20260513_predictions.csv,
*,RANSACRegressor,20260513,0.511,0.715,0.511,0.511,-1.046,RANSACRegressor_20260513.pkl,RANSACRegressor_20260513_summary.txt,RANSACRegressor_20260513_prediction_plot.png,RANSACRegressor_20260513_predictions.csv,
*,Lars,20260513,1.249,1.117,0.621,1.03079E+15,-3.997,Lars_20260513.pkl,Lars_20260513_summary.txt,Lars_20260513_prediction_plot.png,Lars_20260513_predictions.csv,
